用户ID,作者ID,信源级别,性别,精准地域,身份标签
JRTT_火炬1号,4300905229333694,未定义,无,北京市,普通用户
JRTT_烟台市人民检察院,5212045832,地市,无,山东省,意见领袖
JRTT_爱济南新闻客户端,56749046149,地市,无,山东省,意见领袖
JRTT_率真潇洒淡定,50957903790,未定义,无,浙江省,普通用户
JRTT_环球网,5954781019,央级,无,四川省,意见领袖
JRTT_瓦尔谈历史,3298958406860109,商业,无,广东省,普通用户
JRTT_界面新闻,52857496566,商业,无,天津市,意见领袖
JRTT_睿立方咨询,4375673482251870,未定义,无,福建省,普通用户
JRTT_科技成果转化联盟,54015954518,未定义,无,新疆维吾尔自治区,意见领袖
JRTT_科技询问频,62207277569,未定义,无,广东省,普通用户
JRTT_红星新闻,4085395345,地市,无,浙江省,意见领袖
JRTT_红网,3629160307,省级,无,浙江省,普通用户
JRTT_经信研究工业和信息化,100724764687,未定义,无,山东省,普通用户
JRTT_续词,5767227685,商业,无,浙江省,普通用户
JRTT_网信恩施,3509287766207032,地市,无,湖北省,普通用户
JRTT_美丽重庆官方号,961405937780579,未定义,无,重庆市,普通用户
JRTT_肥西融媒,56739390627,商业,无,安徽省,普通用户
JRTT_莱山发布,3787190008293455,地市,无,山东省,意见领袖
JRTT_萧山发布,4668393991,地市,无,浙江省,意见领袖
JRTT_行业调研报告,53456915177,未定义,无,新疆维吾尔自治区,意见领袖
JRTT_西湖之声,5799820311,地市,无,浙江省,意见领袖
JRTT_解决方案未老师,1063967163941188,未定义,无,上海市,普通用户
JRTT_赛立信通信与竞争研究,6827214083,未定义,无,江苏省,普通用户
JRTT_足智多谋雪碧k,2186299409959063,未定义,无,上海市,普通用户
JRTT_透过历史的重重迷雾,2941944139617624,未定义,无,浙江省,普通用户
JRTT_通信产业报,6675177540,未定义,无,新疆维吾尔自治区,意见领袖
JRTT_都市快报橙柿互动,5816621612,地市,无,浙江省,意见领袖
JRTT_鄂汇办,1398194300526135,省级,无,浙江省,普通用户
JRTT_重庆政事,80122214073,未定义,无,重庆市,普通用户
JRTT_重庆日报,3999481240,省级,无,重庆市,意见领袖
JRTT_金台资讯,101244436564,央级,无,广东省,意见领袖
JRTT_钱江晚报,3767431635,商业,无,陕西省,意见领袖
JRTT_银联信,5868318796,未定义,无,浙江省,普通用户
JRTT_锋行链盟,5553971489,未定义,无,其他,普通用户
JRTT_长城战略咨询,52104392008,未定义,无,广东省,普通用户
JRTT_陆家嘴金融网,6455809937,未定义,无,上海市,意见领袖
JRTT_陕西网,4065559438,省级,无,山东省,意见领袖
JRTT_青岛发布,4272409110,地市,无,山东省,意见领袖
JRTT_青岛新闻网房产,3309124461,地市,无,山东省,意见领袖
JRTT_青岛日报,135944644074196,地市,无,山东省,意见领袖
JRTT_青涩海浪Sk5,152171183088240,未定义,无,上海市,普通用户
JRTT_顽强晚风xH,2062317748240043,未定义,无,其他,普通用户
JRTT_魅力蜀山首创之区,4582854506,地市,无,安徽省,意见领袖
JRTT_魔法海洋MqW,56960574530,未定义,无,广东省,普通用户
VX_3060碳达峰碳中和,C-3060DFZH,未定义,无,上海市,普通用户
VX_BHI拟在建项目网,BHIHXJ,未定义,无,江西省,普通用户
VX_IT鼹鼠,IT-Mole,未定义,无,浙江省,普通用户
VX_RNHE丨人和数智,gh_93973f4dc5d7,未定义,无,安徽省,普通用户
VX_三峡水务公司,gh_1300bec55d9f,未定义,无,重庆市,普通用户
VX_三峡财智汇,cnsincen,未定义,无,重庆市,普通用户
VX_上海临港,gh_3170e768147e,未定义,无,上海市,普通用户
VX_上海工地,shanghaigongdi,未定义,无,上海市,普通用户
VX_世界义商研究院,gh_5d49fe859fc8,未定义,无,上海市,普通用户
VX_中商产业研究院,askcireport,未定义,无,其他,普通用户
VX_中国互联网大会,cic-isc,未定义,无,江苏省,普通用户
VX_中国社会科学院政治学研究所,gh_a09d7f2919e6,未定义,无,上海市,普通用户
VX_九龙坡发布,jlpfabu,地市,无,重庆市,普通用户
VX_云尚智库,gh_509e9fd4eb64,未定义,无,广东省,普通用户
VX_互联互通社区,sq_hulianhutong,未定义,无,江西省,普通用户
VX_产业与规划研究所,guihuasuo2023,未定义,无,江苏省,普通用户
VX_亮见数字城市,newliangjian,未定义,无,江西省,普通用户
VX_亮见数字智慧城市,liangjianszcs,未定义,无,上海市,普通用户
VX_人工智能产业链union,AIAlliance,未定义,无,北京市,普通用户
VX_克拉玛依零距离,KLMY_LJL,地市,无,山东省,普通用户
VX_全过程工程咨询项目管理,gh_f20cf169732c,未定义,无,青海省,普通用户
VX_公管学人,pascholars,未定义,无,浙江省,普通用户
VX_兰财税海研语,gh_72074a4d78ed,未定义,无,重庆市,普通用户
VX_冀时招录,jishizhaolu,未定义,无,江西省,普通用户
VX_北京物联网智能技术应用协会,bjwlwxh,未定义,无,上海市,普通用户
VX_华师慧教师发展中心,hshjfzx,未定义,无,上海市,普通用户
VX_华龙网,cqnewshlw,省级,无,重庆市,普通用户
VX_博古通斤,bgtj12,未定义,无,其他,普通用户
VX_品质天目,gh_5551fc7a5681,未定义,无,上海市,普通用户
VX_四川慧高智能科技有限公司,gh_6d1b3367afcf,未定义,无,浙江省,普通用户
VX_国地科技,GuodiTechnology,未定义,无,河北省,普通用户
VX_国脉数字智库,Govmade_ZK,未定义,无,广东省,普通用户
VX_城市大脑解决方案,gh_4704f3bc8644,未定义,无,内蒙古自治区,普通用户
VX_城市开发杂志,cskfzzs,未定义,无,江苏省,普通用户
VX_城市更新论坛CURF,CURF_2017,未定义,无,北京市,普通用户
VX_城市治理,zgcgjl,未定义,无,辽宁省,普通用户
VX_复旦城市治理评论,FudanUGR,未定义,无,广东省,普通用户
VX_大信创圈,gh_04aa3ff74295,未定义,无,上海市,普通用户
VX_太原大数据官微,TaiYuanBigData,未定义,无,新疆维吾尔自治区,普通用户
VX_宝山安居,gh_690a0b9377d4,未定义,无,上海市,普通用户
VX_小申的政策分享,zxkx456,未定义,无,青海省,普通用户
VX_山西中建政研,sxzjzy666,未定义,无,山西省,普通用户
VX_岛城先锋,dcxfgzh,未定义,无,山东省,普通用户
VX_崔文崔语,tulerensheng365,未定义,无,其他,普通用户
VX_巴渝法声,cqsf6002,省级,无,重庆市,普通用户
VX_广东民宿发展研究院,GRDI-2020,未定义,无,广东省,普通用户
VX_快看,xinhuashekuaikan,未定义,无,上海市,普通用户
VX_悟空智能科技,WUKOOAI,未定义,无,北京市,普通用户
VX_成渝蓝皮书,CYSCJJQ,未定义,无,重庆市,普通用户
VX_招投标讲堂,gh_ca18fe9ab7f4,未定义,无,青海省,普通用户
VX_数字中国建设峰会,gh_1dff39f650e9,地市,无,北京市,普通用户
VX_数字化转型工作室,DX_Studios,未定义,无,上海市,普通用户
VX_数字城市产业研究,gh_9046db1e6dec,未定义,无,上海市,普通用户
VX_数字政通,egova300075,未定义,无,上海市,普通用户
VX_数局,gh_ef7dc0e287a9,未定义,无,广东省,普通用户
VX_数据要素社,shujuyaosu,未定义,无,湖北省,普通用户
VX_数据资产Plus,gh_b2799044bffe,未定义,无,浙江省,普通用户
VX_数智研习,gh_56a2e502c372,未定义,无,浙江省,普通用户
VX_文化产业板华东区运营中心,whsbzjyyzx,未定义,无,山东省,普通用户
VX_新基建项目研讨,gh_590cd2a1a447,未定义,无,新疆维吾尔自治区,普通用户
VX_新点数字建筑,Epoint-SZJZ,未定义,无,天津市,普通用户
VX_时聊斋,gh_1505828b2bcc,未定义,无,上海市,普通用户
VX_普旭集团,gh_6b10602f59b9,未定义,无,重庆市,普通用户
VX_智慧重庆,CQSDSJYYFZGLJ,未定义,无,重庆市,普通用户
VX_智能交通技术,ITSTech,未定义,无,北京市,普通用户
VX_武川网信,gh_70c122f6ff8e,地市,无,山东省,普通用户
VX_江津机关事务,jjqjgswglzx,未定义,无,重庆市,普通用户
VX_江裕德珺科技服务平台,jydejun,未定义,无,重庆市,普通用户
VX_法商小私塾,BLC19542724535,未定义,无,江苏省,普通用户
VX_泰达数字化城市管理,tdjszcg,未定义,无,上海市,普通用户
VX_洞见数字城市,dongjian-szcs,未定义,无,广东省,普通用户
VX_活力乌兰察布,hlwlcb,地市,无,山东省,普通用户
VX_浙江大学继续教育学院,scezju99,未定义,无,浙江省,普通用户
VX_海右人才,gh_d111e860ec7e,未定义,无,山东省,普通用户
VX_深氪智库,shenkezhiku,未定义,无,北京市,普通用户
VX_清风九龙,qingfengjiulong,地市,无,重庆市,普通用户
VX_灵犀洞察,LingSee_Insight,未定义,无,上海市,普通用户
VX_爱济南新闻客户端,ai-jinan,地市,无,山东省,普通用户
VX_物业管理EMBA,Rambo-edu,未定义,无,重庆市,普通用户
VX_理念更新,dknh2050,未定义,无,重庆市,普通用户
VX_璧山发布,gh_0b1fdcabf580,未定义,无,重庆市,普通用户
VX_甘肃交通科技通信,gh_a6f8adb579ea,未定义,无,广东省,普通用户
VX_盛京视野,gh_0dca70137c40,未定义,无,北京市,普通用户
VX_碳达峰 碳中和之路 瑞波,Tan3060zhonghe,未定义,无,上海市,普通用户
VX_社科大科研处,UCASSResearch,未定义,无,其他,普通用户
VX_福州建总物业,fzcxjzwy,未定义,无,福建省,普通用户
VX_红山开源,gh_267ccf61a3b1,未定义,无,其他,普通用户
VX_综合文稿参考,gh_891d6930104d,未定义,无,重庆市,普通用户
VX_网信中宁,gh_1f6657271ab4,未定义,无,山东省,普通用户
VX_网信伊春,gh_4d81c02ad970,未定义,无,浙江省,普通用户
VX_网信哈尔滨,gh_c0c37cd26bab,未定义,无,浙江省,普通用户
VX_网信泊头,wangxinbotou,地市,无,山东省,普通用户
VX_老年康乐报官微,XJ-LNKLB-GW,未定义,无,山东省,普通用户
VX_能者会展网,gh_effee151ffb8,未定义,无,北京市,普通用户
VX_荣昌区总工会,gh_7319164957c5,地市,无,重庆市,普通用户
VX_蜀山发布,shushanfabu,地市,无,安徽省,普通用户
VX_计算机 牛骨挖掘机,QianZhan-5G,未定义,无,北京市,普通用户
VX_计算机与网络安全,C-CyberSecurity,未定义,无,广东省,普通用户
VX_达摩科技,damokeji666,未定义,无,北京市,普通用户
VX_部门宪法研究,xzbmxf,未定义,无,四川省,普通用户
VX_重庆乡村振兴,cqsxczxj,省级,无,重庆市,普通用户
VX_重庆事业单位,chongqingshiye,未定义,无,重庆市,普通用户
VX_重庆化工职业学院建筑工程学院,jzgcxy2016,未定义,无,重庆市,普通用户
VX_重庆发布,cqfabu,省级,无,重庆市,普通用户
VX_重庆向上,gh_40bc974c0cd5,未定义,无,重庆市,普通用户
VX_重庆国资,gh_888384a08461,未定义,无,重庆市,普通用户
VX_重庆国际贸易单一窗口,gh_6b5cb3ef9bab,未定义,无,重庆市,普通用户
VX_重庆女性,cqnv2015,省级,无,重庆市,普通用户
VX_重庆市场监管,gh_dd9f7df299ef,未定义,无,重庆市,普通用户
VX_重庆市政府网,cqsrmzfw,省级,无,重庆市,普通用户
VX_重庆市沙坪坝区民政局,gh_4ee75f3f2677,未定义,无,重庆市,普通用户
VX_重庆市消费帮扶馆,gh_c97e2ff677e4,未定义,无,重庆市,普通用户
VX_重庆建工八建,gh_e864e7f4ad8d,未定义,无,重庆市,普通用户
VX_重庆服务贸易,cqfwmy,未定义,无,重庆市,普通用户
VX_重庆民盟,gh_16359b966dca,省级,无,重庆市,普通用户
VX_重庆水港建设集团,gh_673683ea13b8,未定义,无,重庆市,普通用户
VX_重庆渝中民革,gh_4de6cc929482,未定义,无,重庆市,普通用户
VX_银川人才集团,gh_e8506364eb66,中小,无,宁夏回族自治区,普通用户
VX_银川发布,yinchuanfabu,地市,无,宁夏回族自治区,普通用户
VX_长宁区江苏社区发布,gh_a727526ba45d,未定义,无,上海市,普通用户
VX_阜阳市绿色建筑建材行业发展协会,gh_56a524f25fd9,未定义,无,山东省,普通用户
VX_项目招标与展会信息,gh_015c252e3f73,未定义,无,河南省,普通用户
VX_风正巴渝,fengzhengbayu,省级,无,重庆市,普通用户
VX_首席数字官,ChiefDigitalOfficer,未定义,无,广东省,普通用户
VX_黑龙江省住房和城乡建设厅,gh_5dc6062d4fb6,未定义,无,浙江省,普通用户
VX_黔江发布,gh_627d2f6b8721,未定义,无,重庆市,普通用户
VX_齐家志国评天下,qjzgptxnb,未定义,无,吉林省,普通用户
VX_齐鲁智观,Qilu-Think-Tank,未定义,无,山东省,普通用户
WB_兰州微事,5480412715,未定义,女,内蒙古自治区,意见领袖
WB_兰州微导航,3051949107,未定义,男,内蒙古自治区,意见领袖
WB_兰州新世相,1720462964,未定义,男,内蒙古自治区,意见领袖
WB_嗨兰州,5985166710,未定义,男,内蒙古自治区,意见领袖
WB_大兰州,6043311739,未定义,女,内蒙古自治区,意见领袖
WB_希望看到彩虹99,7816412437,未定义,男,浙江省,普通用户
WB_法治四川,1897723622,未定义,女,内蒙古自治区,意见领袖
WB_用户7824087551,7824087551,未定义,女,香港特别行政区,普通用户
WB_长安百晓生,5814041729,未定义,女,内蒙古自治区,意见领袖
WYXW_央视网, ,央级,无,山东省,普通用户
WYXW_潇湘晨报,T1601734075049,省级,无,湖南省,普通用户
WYXW_百工驿APP, ,未定义,无,广东省,普通用户
WYXW_荆头条,T1459996334038,地市,无,湖北省,普通用户
WYXW_重庆发布, ,省级,无,重庆市,普通用户
XHS_MPA阿林,6791289433,未定义,无,四川省,普通用户
XHS_Mark一下公管保研&伴学&咨询,2296285512,未定义,无,四川省,普通用户
XHS_一口一个生煎包哇,1961201652,商业,无,浙江省,普通用户
XHS_公管MPA小社,49483632470,未定义,无,北京市,普通用户
XHS_土豆烤肉,4615924425,商业,无,浙江省,普通用户
XHS_在读论文的研究生,2698067603,商业,无,吉林省,普通用户
XHS_宁德华图HUATU,1410925856,商业,无,浙江省,普通用户
XHS_小北带你上岸,6145306177,未定义,无,浙江省,普通用户
XHS_数字化转型home,9411764202,未定义,无,上海市,普通用户
XHS_数策前瞻（报告看置顶）,2276774284,未定义,无,北京市,普通用户
XHS_星黛露,drxinloveljt,商业,无,上海市,普通用户
XHS_是努力的向日葵?,7896684130,商业,无,浙江省,普通用户
XHS_牛排,1001846100,未定义,无,上海市,普通用户
XHS_石家庄导氮申论,9316923304,未定义,无,山东省,普通用户
XHS_笑春风,1155648636,未定义,无,山东省,普通用户
XHS_经天纬地GIS,2847193806,未定义,无,北京市,普通用户
XHS_老韩～上海营商办小兵,1409384158,未定义,无,上海市,普通用户
XHS_考拉,332668313,未定义,无,山东省,普通用户
XHS_运气爆棚的花菜,1743498629,商业,无,浙江省,普通用户
XHS_郑房新信息系统监理师,8613720341,商业,无,浙江省,普通用户
XHS_郑房新软考中项系统集成,7722184547,商业,无,浙江省,普通用户
XHS_郑房新软考培训,9774795741,商业,无,浙江省,普通用户
XHS_面试小行家,5242054640,未定义,无,山东省,普通用户
