用户ID,作者ID,信源级别,性别,精准地域,身份标签
JRTT_合肥检察_41,6011337789,地市,无,安徽省,意见领袖
JRTT_合肥观_42,1248645354892007,地市,无,安徽省,意见领袖
JRTT_吉林市发布_43,2043335471279246,未定义,无,吉林省,普通用户
JRTT_同花顺财经_44,3475422963,未定义,无,广东省,意见领袖
JRTT_周到客户端_45,5819492117,省级,无,上海市,意见领袖
JRTT_哲思文_46,1163759847998076,商业,无,广东省,普通用户
JRTT_国际在线_47,3528285997,央级,无,山东省,意见领袖
JRTT_多彩沙滩ywD_48,2826177743690499,未定义,无,上海市,普通用户
JRTT_大小新闻_49,5757263521,地市,无,山东省,意见领袖
JRTT_大海9056_50,5522045962,未定义,无,四川省,普通用户
JRTT_央视网_51, ,央级,无,山东省,意见领袖
JRTT_奇幻星球C_52,104845952866,未定义,无,上海市,普通用户
JRTT_宇潇_53,4334701128726323,未定义,无,上海市,普通用户
JRTT_小邰爱分享_54,92668138537,未定义,无,其他,普通用户
JRTT_广州日报_55,60783525276,地市,无,广东省,意见领袖
JRTT_建德检察_56,5801314833,地市,无,浙江省,意见领袖
JRTT_开封政法_57,50043541298,未定义,无,山东省,意见领袖
JRTT_投标鸭_58,4415268846318919,未定义,无,上海市,普通用户
JRTT_数据行者X_59,958371883661111,未定义,无,上海市,普通用户
JRTT_文汇_60,52239293810,省级,无,上海市,意见领袖
JRTT_新华三_61,2071105606780139,中小,无,陕西省,普通用户
JRTT_新华财经_62,3337110119,央级,无,上海市,意见领袖
JRTT_无忧智库_63,3337706473010892,未定义,无,上海市,普通用户
JRTT_无忧资源_64,3577802654,未定义,无,北京市,普通用户
JRTT_普华有策咨询_65,96133060841,未定义,无,上海市,普通用户
JRTT_杭州交通91.8_66,5808664971,地市,无,浙江省,意见领袖
JRTT_杭州综合频道_67,5494885598,地市,无,浙江省,意见领袖
JRTT_桓台县检察院_68,5234064122,未定义,无,山东省,意见领袖
JRTT_武汉市场监管_69,6981013315,地市,无,湖北省,意见领袖
JRTT_武汉新闻广播_70,50033191520,未定义,无,湖北省,意见领袖
JRTT_每日经济新闻_71,5770251897,地市,无,广东省,普通用户
JRTT_永宁县融媒体中心_72,104084918642,地市,无,宁夏回族自治区,意见领袖
JRTT_汇动信息_73,1090332209979949,未定义,无,其他,普通用户
JRTT_沈阳宣传_74,64237504801,地市,无,辽宁省,普通用户
JRTT_沈阳广电第一现场_75,51744904015,地市,无,辽宁省,意见领袖
JRTT_测绘学报_76,51990954601,未定义,无,重庆市,普通用户
JRTT_浙江大学继续教育学院_77,77683426513,未定义,无,浙江省,意见领袖
JRTT_海外网_78,3242684112,央级,无,浙江省,意见领袖
JRTT_海报新闻_79,107958836060,省级,无,山东省,意见领袖
JRTT_海默尔_80,67687156571,未定义,无,上海市,普通用户
JRTT_清华五道口周道许_81,201933271098439,未定义,无,广东省,普通用户
JRTT_滨州网_82,52689831547,地市,无,山东省,意见领袖
JRTT_潇湘晨报_83,3348826768,省级,无,湖南省,普通用户
JRTT_潮新闻_84,1455381541031324,省级,无,浙江省,意见领袖
JRTT_澎湃新闻_85,51045089537,省级,无,安徽省,意见领袖
JRTT_澎湃新闻客户端_86,28999977011200,省级,无,上海市,普通用户
JRTT_火炬1号_87,4300905229333694,未定义,无,北京市,普通用户
JRTT_烟台市人民检察院_88,5212045832,地市,无,山东省,意见领袖
JRTT_爱济南新闻客户端_89,56749046149,地市,无,山东省,意见领袖
JRTT_率真潇洒淡定_90,50957903790,未定义,无,浙江省,普通用户
JRTT_环球网_91,5954781019,央级,无,四川省,意见领袖
JRTT_瓦尔谈历史_92,3298958406860109,商业,无,广东省,普通用户
JRTT_界面新闻_93,52857496566,商业,无,天津市,意见领袖
JRTT_睿立方咨询_94,4375673482251870,未定义,无,福建省,普通用户
JRTT_科技成果转化联盟_95,54015954518,未定义,无,新疆维吾尔自治区,意见领袖
JRTT_科技询问频_96,62207277569,未定义,无,广东省,普通用户
JRTT_红星新闻_97,4085395345,地市,无,浙江省,意见领袖
JRTT_红网_98,3629160307,省级,无,浙江省,普通用户
JRTT_经信研究工业和信息化_99,100724764687,未定义,无,山东省,普通用户
JRTT_续词_100,5767227685,商业,无,浙江省,普通用户
JRTT_网信恩施_101,3509287766207032,地市,无,湖北省,普通用户
JRTT_美丽重庆官方号_102,961405937780579,未定义,无,重庆市,普通用户
JRTT_肥西融媒_103,56739390627,商业,无,安徽省,普通用户
JRTT_莱山发布_104,3787190008293455,地市,无,山东省,意见领袖
JRTT_萧山发布_105,4668393991,地市,无,浙江省,意见领袖
JRTT_行业调研报告_106,53456915177,未定义,无,新疆维吾尔自治区,意见领袖
JRTT_西湖之声_107,5799820311,地市,无,浙江省,意见领袖
JRTT_解决方案未老师_108,1063967163941188,未定义,无,上海市,普通用户
JRTT_赛立信通信与竞争研究_109,6827214083,未定义,无,江苏省,普通用户
JRTT_足智多谋雪碧k_110,2186299409959063,未定义,无,上海市,普通用户
JRTT_透过历史的重重迷雾_111,2941944139617624,未定义,无,浙江省,普通用户
JRTT_通信产业报_112,6675177540,未定义,无,新疆维吾尔自治区,意见领袖
JRTT_都市快报橙柿互动_113,5816621612,地市,无,浙江省,意见领袖
JRTT_鄂汇办_114,1398194300526135,省级,无,浙江省,普通用户
JRTT_重庆政事_115,80122214073,未定义,无,重庆市,普通用户
JRTT_重庆日报_116,3999481240,省级,无,重庆市,意见领袖
JRTT_金台资讯_117,101244436564,央级,无,广东省,意见领袖
JRTT_钱江晚报_118,3767431635,商业,无,陕西省,意见领袖
JRTT_银联信_119,5868318796,未定义,无,浙江省,普通用户
JRTT_锋行链盟_120,5553971489,未定义,无,其他,普通用户
JRTT_长城战略咨询_121,52104392008,未定义,无,广东省,普通用户
JRTT_陆家嘴金融网_122,6455809937,未定义,无,上海市,意见领袖
JRTT_陕西网_123,4065559438,省级,无,山东省,意见领袖
JRTT_青岛发布_124,4272409110,地市,无,山东省,意见领袖
JRTT_青岛新闻网房产_125,3309124461,地市,无,山东省,意见领袖
JRTT_青岛日报_126,135944644074196,地市,无,山东省,意见领袖
JRTT_青涩海浪Sk5_127,152171183088240,未定义,无,上海市,普通用户
JRTT_顽强晚风xH_128,2062317748240043,未定义,无,其他,普通用户
JRTT_魅力蜀山首创之区_129,4582854506,地市,无,安徽省,意见领袖
JRTT_魔法海洋MqW_130,56960574530,未定义,无,广东省,普通用户
VX_3060碳达峰碳中和_131,C-3060DFZH,未定义,无,上海市,普通用户
VX_BHI拟在建项目网_132,BHIHXJ,未定义,无,江西省,普通用户
VX_IT鼹鼠_133,IT-Mole,未定义,无,浙江省,普通用户
VX_RNHE丨人和数智_134,gh_93973f4dc5d7,未定义,无,安徽省,普通用户
VX_三峡水务公司_135,gh_1300bec55d9f,未定义,无,重庆市,普通用户
VX_三峡财智汇_136,cnsincen,未定义,无,重庆市,普通用户
VX_上海临港_137,gh_3170e768147e,未定义,无,上海市,普通用户
VX_上海工地_138,shanghaigongdi,未定义,无,上海市,普通用户
VX_世界义商研究院_139,gh_5d49fe859fc8,未定义,无,上海市,普通用户
VX_中商产业研究院_140,askcireport,未定义,无,其他,普通用户
VX_中国互联网大会_141,cic-isc,未定义,无,江苏省,普通用户
VX_中国社会科学院政治学研究所_142,gh_a09d7f2919e6,未定义,无,上海市,普通用户
VX_九龙坡发布_143,jlpfabu,地市,无,重庆市,普通用户
VX_云尚智库_144,gh_509e9fd4eb64,未定义,无,广东省,普通用户
VX_互联互通社区_145,sq_hulianhutong,未定义,无,江西省,普通用户
VX_产业与规划研究所_146,guihuasuo2023,未定义,无,江苏省,普通用户
VX_亮见数字城市_147,newliangjian,未定义,无,江西省,普通用户
VX_亮见数字智慧城市_148,liangjianszcs,未定义,无,上海市,普通用户
VX_人工智能产业链union_149,AIAlliance,未定义,无,北京市,普通用户
VX_克拉玛依零距离_150,KLMY_LJL,地市,无,山东省,普通用户
VX_全过程工程咨询项目管理_151,gh_f20cf169732c,未定义,无,青海省,普通用户
VX_公管学人_152,pascholars,未定义,无,浙江省,普通用户
VX_兰财税海研语_153,gh_72074a4d78ed,未定义,无,重庆市,普通用户
VX_冀时招录_154,jishizhaolu,未定义,无,江西省,普通用户
VX_北京物联网智能技术应用协会_155,bjwlwxh,未定义,无,上海市,普通用户
VX_华师慧教师发展中心_156,hshjfzx,未定义,无,上海市,普通用户
VX_华龙网_157,cqnewshlw,省级,无,重庆市,普通用户
VX_博古通斤_158,bgtj12,未定义,无,其他,普通用户
VX_品质天目_159,gh_5551fc7a5681,未定义,无,上海市,普通用户
VX_四川慧高智能科技有限公司_160,gh_6d1b3367afcf,未定义,无,浙江省,普通用户
VX_国地科技_161,GuodiTechnology,未定义,无,河北省,普通用户
VX_国脉数字智库_162,Govmade_ZK,未定义,无,广东省,普通用户
VX_城市大脑解决方案_163,gh_4704f3bc8644,未定义,无,内蒙古自治区,普通用户
VX_城市开发杂志_164,cskfzzs,未定义,无,江苏省,普通用户
VX_城市更新论坛CURF_165,CURF_2017,未定义,无,北京市,普通用户
VX_城市治理_166,zgcgjl,未定义,无,辽宁省,普通用户
VX_复旦城市治理评论_167,FudanUGR,未定义,无,广东省,普通用户
VX_大信创圈_168,gh_04aa3ff74295,未定义,无,上海市,普通用户
VX_太原大数据官微_169,TaiYuanBigData,未定义,无,新疆维吾尔自治区,普通用户
VX_宝山安居_170,gh_690a0b9377d4,未定义,无,上海市,普通用户
VX_小申的政策分享_171,zxkx456,未定义,无,青海省,普通用户
VX_山西中建政研_172,sxzjzy666,未定义,无,山西省,普通用户
VX_岛城先锋_173,dcxfgzh,未定义,无,山东省,普通用户
VX_崔文崔语_174,tulerensheng365,未定义,无,其他,普通用户
VX_巴渝法声_175,cqsf6002,省级,无,重庆市,普通用户
VX_广东民宿发展研究院_176,GRDI-2020,未定义,无,广东省,普通用户
VX_快看_177,xinhuashekuaikan,未定义,无,上海市,普通用户
VX_悟空智能科技_178,WUKOOAI,未定义,无,北京市,普通用户
VX_成渝蓝皮书_179,CYSCJJQ,未定义,无,重庆市,普通用户
VX_招投标讲堂_180,gh_ca18fe9ab7f4,未定义,无,青海省,普通用户
VX_数字中国建设峰会_181,gh_1dff39f650e9,地市,无,北京市,普通用户
VX_数字化转型工作室_182,DX_Studios,未定义,无,上海市,普通用户
VX_数字城市产业研究_183,gh_9046db1e6dec,未定义,无,上海市,普通用户
VX_数字政通_184,egova300075,未定义,无,上海市,普通用户
VX_数局_185,gh_ef7dc0e287a9,未定义,无,广东省,普通用户
VX_数据要素社_186,shujuyaosu,未定义,无,湖北省,普通用户
VX_数据资产Plus_187,gh_b2799044bffe,未定义,无,浙江省,普通用户
VX_数智研习_188,gh_56a2e502c372,未定义,无,浙江省,普通用户
VX_文化产业板华东区运营中心_189,whsbzjyyzx,未定义,无,山东省,普通用户
VX_新基建项目研讨_190,gh_590cd2a1a447,未定义,无,新疆维吾尔自治区,普通用户
VX_新点数字建筑_191,Epoint-SZJZ,未定义,无,天津市,普通用户
VX_时聊斋_192,gh_1505828b2bcc,未定义,无,上海市,普通用户
VX_普旭集团_193,gh_6b10602f59b9,未定义,无,重庆市,普通用户
VX_智慧重庆_194,CQSDSJYYFZGLJ,未定义,无,重庆市,普通用户
VX_智能交通技术_195,ITSTech,未定义,无,北京市,普通用户
VX_武川网信_196,gh_70c122f6ff8e,地市,无,山东省,普通用户
VX_江津机关事务_197,jjqjgswglzx,未定义,无,重庆市,普通用户
VX_江裕德珺科技服务平台_198,jydejun,未定义,无,重庆市,普通用户
VX_法商小私塾_199,BLC19542724535,未定义,无,江苏省,普通用户
VX_泰达数字化城市管理_200,tdjszcg,未定义,无,上海市,普通用户
VX_洞见数字城市_201,dongjian-szcs,未定义,无,广东省,普通用户
VX_活力乌兰察布_202,hlwlcb,地市,无,山东省,普通用户
VX_浙江大学继续教育学院_203,scezju99,未定义,无,浙江省,普通用户
VX_海右人才_204,gh_d111e860ec7e,未定义,无,山东省,普通用户
VX_深氪智库_205,shenkezhiku,未定义,无,北京市,普通用户
VX_清风九龙_206,qingfengjiulong,地市,无,重庆市,普通用户
VX_灵犀洞察_207,LingSee_Insight,未定义,无,上海市,普通用户
VX_爱济南新闻客户端_208,ai-jinan,地市,无,山东省,普通用户
VX_物业管理EMBA_209,Rambo-edu,未定义,无,重庆市,普通用户
VX_理念更新_210,dknh2050,未定义,无,重庆市,普通用户
VX_璧山发布_211,gh_0b1fdcabf580,未定义,无,重庆市,普通用户
VX_甘肃交通科技通信_212,gh_a6f8adb579ea,未定义,无,广东省,普通用户
VX_盛京视野_213,gh_0dca70137c40,未定义,无,北京市,普通用户
VX_碳达峰 碳中和之路 瑞波_214,Tan3060zhonghe,未定义,无,上海市,普通用户
VX_社科大科研处_215,UCASSResearch,未定义,无,其他,普通用户
VX_福州建总物业_216,fzcxjzwy,未定义,无,福建省,普通用户
VX_红山开源_217,gh_267ccf61a3b1,未定义,无,其他,普通用户
VX_综合文稿参考_218,gh_891d6930104d,未定义,无,重庆市,普通用户
VX_网信中宁_219,gh_1f6657271ab4,未定义,无,山东省,普通用户
VX_网信伊春_220,gh_4d81c02ad970,未定义,无,浙江省,普通用户
VX_网信哈尔滨_221,gh_c0c37cd26bab,未定义,无,浙江省,普通用户
VX_网信泊头_222,wangxinbotou,地市,无,山东省,普通用户
VX_老年康乐报官微_223,XJ-LNKLB-GW,未定义,无,山东省,普通用户
VX_能者会展网_224,gh_effee151ffb8,未定义,无,北京市,普通用户
VX_荣昌区总工会_225,gh_7319164957c5,地市,无,重庆市,普通用户
VX_蜀山发布_226,shushanfabu,地市,无,安徽省,普通用户
VX_计算机 牛骨挖掘机_227,QianZhan-5G,未定义,无,北京市,普通用户
VX_计算机与网络安全_228,C-CyberSecurity,未定义,无,广东省,普通用户
VX_达摩科技_229,damokeji666,未定义,无,北京市,普通用户
VX_部门宪法研究_230,xzbmxf,未定义,无,四川省,普通用户
VX_重庆乡村振兴_231,cqsxczxj,省级,无,重庆市,普通用户
VX_重庆事业单位_232,chongqingshiye,未定义,无,重庆市,普通用户
VX_重庆化工职业学院建筑工程学院_233,jzgcxy2016,未定义,无,重庆市,普通用户
VX_重庆发布_234,cqfabu,省级,无,重庆市,普通用户
VX_重庆向上_235,gh_40bc974c0cd5,未定义,无,重庆市,普通用户
VX_重庆国资_236,gh_888384a08461,未定义,无,重庆市,普通用户
VX_重庆国际贸易单一窗口_237,gh_6b5cb3ef9bab,未定义,无,重庆市,普通用户
VX_重庆女性_238,cqnv2015,省级,无,重庆市,普通用户
VX_重庆市场监管_239,gh_dd9f7df299ef,未定义,无,重庆市,普通用户
VX_重庆市政府网_240,cqsrmzfw,省级,无,重庆市,普通用户
VX_重庆市沙坪坝区民政局_241,gh_4ee75f3f2677,未定义,无,重庆市,普通用户
VX_重庆市消费帮扶馆_242,gh_c97e2ff677e4,未定义,无,重庆市,普通用户
VX_重庆建工八建_243,gh_e864e7f4ad8d,未定义,无,重庆市,普通用户
VX_重庆服务贸易_244,cqfwmy,未定义,无,重庆市,普通用户
VX_重庆民盟_245,gh_16359b966dca,省级,无,重庆市,普通用户
VX_重庆水港建设集团_246,gh_673683ea13b8,未定义,无,重庆市,普通用户
VX_重庆渝中民革_247,gh_4de6cc929482,未定义,无,重庆市,普通用户
VX_银川人才集团_248,gh_e8506364eb66,中小,无,宁夏回族自治区,普通用户
VX_银川发布_249,yinchuanfabu,地市,无,宁夏回族自治区,普通用户
VX_长宁区江苏社区发布_250,gh_a727526ba45d,未定义,无,上海市,普通用户
VX_阜阳市绿色建筑建材行业发展协会_251,gh_56a524f25fd9,未定义,无,山东省,普通用户
VX_项目招标与展会信息_252,gh_015c252e3f73,未定义,无,河南省,普通用户
VX_风正巴渝_253,fengzhengbayu,省级,无,重庆市,普通用户
VX_首席数字官_254,ChiefDigitalOfficer,未定义,无,广东省,普通用户
VX_黑龙江省住房和城乡建设厅_255,gh_5dc6062d4fb6,未定义,无,浙江省,普通用户
VX_黔江发布_256,gh_627d2f6b8721,未定义,无,重庆市,普通用户
VX_齐家志国评天下_257,qjzgptxnb,未定义,无,吉林省,普通用户
VX_齐鲁智观_258,Qilu-Think-Tank,未定义,无,山东省,普通用户
WB_兰州微事_259,5480412715,未定义,女,内蒙古自治区,意见领袖
WB_兰州微导航_260,3051949107,未定义,男,内蒙古自治区,意见领袖
WB_兰州新世相_261,1720462964,未定义,男,内蒙古自治区,意见领袖
WB_嗨兰州_262,5985166710,未定义,男,内蒙古自治区,意见领袖
WB_大兰州_263,6043311739,未定义,女,内蒙古自治区,意见领袖
WB_希望看到彩虹99_264,7816412437,未定义,男,浙江省,普通用户
WB_法治四川_265,1897723622,未定义,女,内蒙古自治区,意见领袖
WB_用户7824087551_266,7824087551,未定义,女,香港特别行政区,普通用户
WB_长安百晓生_267,5814041729,未定义,女,内蒙古自治区,意见领袖
WYXW_央视网_268, ,央级,无,山东省,普通用户
WYXW_潇湘晨报_269,T1601734075049,省级,无,湖南省,普通用户
WYXW_百工驿APP_270, ,未定义,无,广东省,普通用户
WYXW_荆头条_271,T1459996334038,地市,无,湖北省,普通用户
WYXW_重庆发布_272, ,省级,无,重庆市,普通用户
XHS_MPA阿林_273,6791289433,未定义,无,四川省,普通用户
XHS_Mark一下公管保研&伴学&咨询_274,2296285512,未定义,无,四川省,普通用户
XHS_一口一个生煎包哇_275,1961201652,商业,无,浙江省,普通用户
XHS_公管MPA小社_276,49483632470,未定义,无,北京市,普通用户
XHS_土豆烤肉_277,4615924425,商业,无,浙江省,普通用户
XHS_在读论文的研究生_278,2698067603,商业,无,吉林省,普通用户
XHS_宁德华图HUATU_279,1410925856,商业,无,浙江省,普通用户
XHS_小北带你上岸_280,6145306177,未定义,无,浙江省,普通用户
XHS_数字化转型home_281,9411764202,未定义,无,上海市,普通用户
XHS_数策前瞻（报告看置顶）_282,2276774284,未定义,无,北京市,普通用户
XHS_星黛露_283,drxinloveljt,商业,无,上海市,普通用户
XHS_是努力的向日葵?_284,7896684130,商业,无,浙江省,普通用户
XHS_牛排_285,1001846100,未定义,无,上海市,普通用户
XHS_石家庄导氮申论_286,9316923304,未定义,无,山东省,普通用户
XHS_笑春风_287,1155648636,未定义,无,山东省,普通用户
XHS_经天纬地GIS_288,2847193806,未定义,无,北京市,普通用户
XHS_老韩～上海营商办小兵_289,1409384158,未定义,无,上海市,普通用户
XHS_考拉_290,332668313,未定义,无,山东省,普通用户
XHS_运气爆棚的花菜_291,1743498629,商业,无,浙江省,普通用户
XHS_郑房新信息系统监理师_292,8613720341,商业,无,浙江省,普通用户
XHS_郑房新软考中项系统集成_293,7722184547,商业,无,浙江省,普通用户
XHS_郑房新软考培训_294,9774795741,商业,无,浙江省,普通用户
XHS_面试小行家_295,5242054640,未定义,无,山东省,普通用户
